alpha,psnr_db,mse,ssim,clean_ber,clean_ncc
5,57.32249415707605,0.12045669555664062,0.9993881211509029,0.05517578125,0.8910745099810742
10,51.22335414208667,0.4906196594238281,0.9982243631996229,0.0,1.0
20,45.74560603596224,1.7318878173828125,0.9949052795005812,0.0,1.0
30,42.33403242203324,3.7990684509277344,0.9896038461478771,0.0,1.0
40,39.88292966281013,6.680168151855469,0.9825184995767254,0.0,1.0
60,36.39274283521795,14.921279907226562,0.9638156009391414,0.0,1.0
