T,psnr_db,jpeg_ber,jpeg_ncc
20,52.9102411813595,0.31594860166288735,0.34091035210320897
40,43.71028961772659,0.18770471151423532,0.7612294900475735
60,38.60715450179156,0.002015621063240111,0.9962405881956828
80,35.39554739001063,0.0030234315948601664,0.9943127500895018
100,32.9514685519496,0.0005039052658100278,0.9990543733109614
120,31.033295689745493,0.0007558578987150416,0.9985812241613785
