T,psnr_db,mse,ssim,clean_ber,clean_ncc
20,52.9102411813595,0.33270263671875,0.9969848290603466,0.1728395061728395,0.688377292757656
40,43.71028961772659,2.7672691345214844,0.9759888801675973,0.0,1.0
60,38.60715450179156,8.961174011230469,0.9302109615919016,0.0,1.0
80,35.39554739001063,18.77265167236328,0.8754177478466943,0.0,1.0
100,32.9514685519496,32.95592498779297,0.8164211666075257,0.0,1.0
120,31.033295689745493,51.256717681884766,0.75992362514244,0.0,1.0
