attack,psnr_attacked,ber,ncc
Без атаки,inf,0.0,1.0
JPEG q=90,40.310099711306734,0.0,1.0
JPEG q=70,34.32124173507762,0.000244140625,0.9995382128592362
JPEG q=50,32.5785928303941,0.011962890625,0.9776994307481757
JPEG q=30,31.244069541883096,0.1083984375,0.8089510147991089
Яркость +20,22.131819333531837,0.206298828125,0.7415566638806412
Гаусс. шум s=5,34.1869844081358,0.0263671875,0.951569033541658
Соль-перец 1%,24.70401298271558,0.26220703125,0.610210668498182
Масштаб 0.5x,28.20676464106787,0.102294921875,0.8294719821612824
Кадрир. 10%,8.406773224718588,0.406982421875,0.3089893446195914
