alpha,psnr_db,jpeg_ber,jpeg_ncc
5,57.32249415707605,0.3330078125,0.4867528260437715
10,51.22335414208667,0.1328125,0.7730882030207197
20,45.74560603596224,0.011962890625,0.9776994307481757
30,42.33403242203324,0.00048828125,0.9990779158942759
40,39.88292966281013,0.0,1.0
60,36.39274283521795,0.0,1.0
